"tconst","averageRating","numVotes","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","parentTconst","seasonNumber","episodeNumber"
"tt0000353",5.2,305,"short","Execution of Czolgosz with Panorama of Auburn Prison","Execution of Czolgosz with Panorama of Auburn Prison",0,"1901","\N","4","Drama,History,Short",NA,NA,NA
"tt0000387",5.1,305,"short","The Coronation of King Edward VII","The Coronation of Edward VII",0,"1902","\N","4","History,Short",NA,NA,NA
"tt0000571",6.9,54,"short","The San Francisco Earthquake","The San Francisco Earthquake",0,"1906","\N","14","Documentary,History,Short",NA,NA,NA
"tt0000634",4.6,10,"short","Antony and Cleopatra","Antony and Cleopatra",0,"1908","\N","\N","Drama,History,Romance",NA,NA,NA
"tt0000637",5.5,601,"short","The Assassination of the Duke de Guise","L'assassinat du duc de Guise",0,"1908","\N","15","Drama,History,Short",NA,NA,NA
"tt0000650",6.5,6,"short","The Boston Tea Party","The Boston Tea Party",0,"1908","\N","\N","Drama,History,Short",NA,NA,NA
"tt0000709",5.6,36,"short","Julius Caesar","Julius Caesar",0,"1908","\N","13","Drama,History,Short",NA,NA,NA
"tt0000844",6,9,"short","The Death of Ivan the Terrible","Smert Ioanna Groznogo",0,"1909","\N","\N","Drama,History,Short",NA,NA,NA
"tt0000969",6.4,12,"short","Les Misérables","Les Misérables",0,"1909","\N","44","Drama,History,Short",NA,NA,NA
"tt0001032",6,762,"short","The Sealed Room","The Sealed Room",0,"1909","\N","11","Drama,History,Short",NA,NA,NA
"tt0001117",5.5,8,"short","Cleopatra","Cléopâtre",0,"1910","\N","\N","Drama,History,Romance",NA,NA,NA
"tt0001195",4,6,"short","Elverhøj","Elverhøj",0,"1910","\N","\N","History,Short",NA,NA,NA
"tt0001264",7.1,45,"short","In Old California","In Old California",0,"1910","\N","17","Drama,History,Short",NA,NA,NA
"tt0001370",5.2,13,"movie","Rainha Depois de Morta Inês de Castro","Rainha Depois de Morta Inês de Castro",0,"1910","\N","\N","Drama,History",NA,NA,NA
"tt0001440",4.7,11,"movie","Valdemar Sejr","Valdemar Sejr",0,"1910","\N","\N","Drama,History",NA,NA,NA
"tt0001658",5.5,11,"short","Henry VIII","Henry VIII",0,"1911","\N","40","Drama,History,Short",NA,NA,NA
"tt0001693",7.1,11,"short","The Immortal Alamo","The Immortal Alamo",0,"1911","\N","20","History,Short,Western",NA,NA,NA
"tt0001715",3.1,7,"short","Julius Caesar","Julius Caesar",0,"1911","\N","\N","Crime,History,Short",NA,NA,NA
"tt0001857",5.7,192,"short","Richard III","Richard III",0,"1911","\N","23","Biography,Drama,History",NA,NA,NA
"tt0001911",5,7,"movie","Nell Gwynne","Sweet Nell of Old Drury",0,"1911","\N","50","Biography,Drama,History",NA,NA,NA
"tt0001915",5.8,88,"short","A Tale of Two Cities","A Tale of Two Cities",0,"1911","\N","30","Drama,History,Short",NA,NA,NA
"tt0002020",4.8,106,"short","Queen Elizabeth","Les amours de la reine Élisabeth",0,"1912","\N","44","Biography,Drama,History",NA,NA,NA
